"class","order","family","genus","sci_name","atlantic","ne_pacific","nw_pacific","indian","mediterranean","s_pacific","alb_global_analysis","cclme_alb_diet","cclme_fed_saip_pre","cclme_frdcps","cclme_dfo","cclme_iys","atl_med_ind","pacific"
"Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora","Chrysaora colorata",0,0,0,0,0,0,0,0,1,1,0,0,0,1
"Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora","Chrysaora fuscescens",0,0,0,0,0,0,0,0,1,1,0,0,0,1
"Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora","Chrysaora melanaster",0,0,0,0,0,0,0,0,0,1,0,1,0,1
"Cephalopoda","Bathyteuthida","Chtenopterygidae","Chtenopteryx","Chtenopteryx sicula",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys sordidus",0,1,0,0,0,0,1,1,1,1,1,0,0,1
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys stigmaeus",0,0,0,0,0,0,0,0,1,1,0,0,0,1
"Hexanauplia","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus furcatus",0,0,0,1,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Scorpaeniformes","Cottidae","Clinocottu","Clinocottus acuticeps",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Gastropoda","Pteropoda","Cliidae","Cilo","Clio pyramidata",1,0,0,0,0,0,1,0,1,0,0,0,1,1
"Gastropoda","Pteropoda","Clionidae","Clione","Clione antarctica",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Gastropoda","Pteropoda","Clionidae","Clione","Clione limacina",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea pallasii",0,1,0,0,0,0,1,0,1,1,1,0,0,1
"Actinopterygii","Beloniformes","Scomberesocidae","Cololabis","Cololabis saira",0,1,0,0,0,0,1,1,1,1,0,0,0,1
"Actinopterygii","Anguilliformes","Congridae","Congriscus","Congriscus megastoma",0,0,0,0,0,0,0,0,1,1,0,0,0,1
"Actinopterygii","Perciformes","Priacanthidae","Cookeolus","Cookeolus japonicus",0,0,0,1,0,0,1,0,0,0,0,0,1,0
"Gastropoda","Pteropoda","Cymbuliidae","Corolla","Corolla spectabilis",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Actinopterygii","Perciformes","Coryphaenidae","Coryphaena","Coryphaena hippurus",0,1,0,0,0,0,1,0,0,0,0,0,0,1
"Hexanauplia","Calanoida","Calanidae","Cosmocalanus","Cosmocalanus darwinii darwinii",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cephalopoda","Oegopsida","Cranchiidae","Cranchia","Cranchia scabra",1,1,0,1,0,0,1,1,1,1,0,0,1,1
"Malacostraca","Decapoda","Crangonidae","Crangon","Crangon nigricauda",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Actinopterygii","Perciformes","Nomeidae","Cubiceps","Cubiceps capensis",1,0,0,1,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Perciformes","Nomeidae","Cubiceps","Cubiceps gracilis",1,1,0,0,0,0,1,0,0,0,0,0,1,1
"Actinopterygii","Perciformes","Nomeidae","Cubiceps","Cubiceps pauciradiatus",1,0,0,1,0,0,1,0,0,0,0,0,1,0
"Scyphozoa","Semaeostomeae","Cyaneidae","Cyanea","Cyanea capillata",0,0,0,0,0,0,0,0,1,1,0,0,1,1
"Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","Cymatogaster aggregata",0,1,0,0,0,0,1,0,0,0,0,0,0,1
"Malacostraca","Amphipoda","Cyphocarididae","Cyphocaris","Cyphocaris faurei",1,0,0,1,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Scorpaeniformes","Dactylopteridae","Dactyloptena","Dactyloptena orientalis",0,0,0,1,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Myctophiformes","Myctophidae","Dasyscopelus","Dasyscopelus asper",0,0,0,1,0,0,1,0,0,0,0,0,1,1
"Actinopterygii","Perciformes","Carangidae","Decapterus","Decapterus macarellus",0,0,0,1,0,0,1,0,0,0,0,0,1,1
"Actinopterygii","Perciformes","Carangidae","Decapterus","Decapterus macrosoma",0,0,0,1,0,0,1,0,0,0,0,0,1,1
"Actinopterygii","Lampriformes","Trachipteridae","Desmodema","Desmodema lorum",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Actinopterygii","Lampriformes","Trachipteridae","Desmodema","Desmodema polystictum",0,1,0,0,0,0,1,0,0,0,0,0,0,1
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus","Diaphus effulgens",1,0,0,1,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus","Diaphus lucidus",1,0,0,1,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus","Diaphus luetkeni",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus","Diaphus ostenfeldi",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus","Diaphus perspicillatus",0,0,0,1,0,0,1,0,0,0,0,0,1,1
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus","Diaphus theta",0,1,1,0,0,0,1,1,1,1,0,1,0,1
"Actinopterygii","Perciformes","Sparidae","Diplodus","Diplodus sargus",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Perciformes","Gempylidae","Diplospinus","Diplospinus multistriatus",1,0,0,0,0,0,1,0,0,0,0,0,1,1
"Actinopterygii","Beryciformes","Diretmidae","Diretmus","Diretmus argenteus",1,0,0,1,0,0,1,0,0,0,0,0,1,1
"Cephalopoda","Myopsida","Loliginidae","Doryteuthis","Doryteuthis opalescens",0,1,0,0,0,0,1,1,1,1,0,0,0,1
"Cephalopoda","Oegopsida","Ommastrephidae","Dosidicus","Dosidicus gigas",0,1,0,0,0,0,1,1,1,1,0,0,0,1
"Malacostraca","Stomatopoda","Protosquillidae","Echinosquilla","Echinosquilla guerinii",0,1,0,0,0,0,1,0,0,0,0,0,0,1
"Actinopterygii","Myctophiformes","Myctophidae","Electrona","Electrona risso",0,0,0,0,0,0,0,0,0,0,0,0,0,1
